#Station	ID_st	State	Name	No.records	Long	Lat	1_2013	2_2013	3_2013	4_2013	5_2013	6_2013	7_2013	8_2013	9_2013	10_2013	11_2013	12_2013	1_2014	2_2014	3_2014	4_2014	5_2014	6_2014	7_2014	8_2014	9_2014	10_2014	11_2014	12_2014	1_2015	2_2015	3_2015	4_2015	5_2015	6_2015	7_2015	8_2015	9_2015	10_2015	11_2015	12_2015	1_2016	2_2016	3_2016	4_2016	5_2016	6_2016	7_2016	8_2016	9_2016	10_2016	11_2016	12_2016	1_2017	2_2017	3_2017	4_2017	5_2017	6_2017	7_2017	8_2017	9_2017	10_2017	11_2017	12_2017	1_2018	2_2018	3_2018	4_2018	5_2018	6_2018	7_2018	8_2018	9_2018	10_2018	11_2018	12_2018	1_2019	2_2019	3_2019	4_2019	5_2019	6_2019	7_2019	8_2019	9_2019	10_2019	11_2019	12_2019	1_2020	2_2020	3_2020	4_2020	5_2020	6_2020	7_2020	8_2020	9_2020	10_2020	11_2020	12_2020	1_2021	2_2021	3_2021	4_2021	5_2021	6_2021	7_2021	8_2021	9_2021	10_2021	11_2021	12_2021	1_2022	2_2022	3_2022	4_2022	5_2022	6_2022	7_2022	8_2022	9_2022	10_2022	11_2022	12_2022	1_2023	2_2023	3_2023	4_2023	5_2023	6_2023	7_2023	8_2023	9_2023	10_2023	11_2023	12_2023	1_2024	2_2024	3_2024	4_2024	5_2024	6_2024	7_2024	8_2024	9_2024	10_2024	11_2024	12_2024	1_2025	2_2025	3_2025	4_2025	5_2025	6_2025	7_2025	8_2025	9_2025	10_2025	11_2025	12_2025	1_2026	2_2026	3_2026	4_2026	5_2026	Unnamed: 168
AGSAG	(0)	AGS	AGUASCALIENTES	128	-102.31	21.9	58.5	0.0	0.2	0.0	14.8	91.8	212.5	59.1	135.4	25.7	20.6	77.5	-99.0	0.0	1.7	0.01	60.81	113.3	108.9	108.81	106.13	18.1	18.9	4.2	0.7	26.6	104.5	9.1	12.8	240.1	346.4	40.7	115.3	91.0	3.1	26.2	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	25.8	28.7	0.0	0.0	75.4	112.5	-99.0	128.2	111.43	119.54	47.14	0.6	6.61	-99.0	0.01	0.0	2.12	44.19	148.5	171.35	-99.0	-99.0	25.7	19.7	31.1	31.01	0.9	2.3	19.14	105.0	192.68	122.45	104.1500015	-99.0	0.0	9.3	11.2	0.0	0.0	0.0	9.1	136.81	195.73	115.8	158.5	16.8	0.0	2.5	1.5	0.3	0.0	22.1	2.62	23.3	-99.0	133.5	6.2	49.42	10.72	0.01	0.0	0.0	0.0	-99.0	-99.0	7.41	119.83	113.4	-99.0	-99.0	-99.0	48.82	0.01	35.7	0.0	0.0	1.13	100.77	219.72	124.31	182.01	3.82	0.0	2.4	10.2	0.0	0.0	0.3	64.72	171.39	175.35	267.44	187.72	32.0	0.0	12.8	3.1	0.0	3.01	11.42	16.03	
ANVAG	(1)	AGS	CINCUENTA ANIVERSARIO	63	-102.47	22.19	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	45.0	44.7	92.2	-99.0	0.0	1.8	0.0	89.0	61.0	156.8	57.2	86.3	12.8	-99.0	-99.0	8.5	26.0	73.6	23.0	33.6	147.8	98.2	79.4	43.0	91.2	10.4	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	58.6	24.4	0.0	2.6	34.8	191.2	-99.0	63.4	67.2	109.8	31.8	0.0	10.6	0.0	0.4	0.0	4.2	33.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0	-99.0	37.2	136.4	99.4	29.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	0.0	-99.0	
BRTAG	(2)	AGS	SAN BARTOLO	70	-102.18	21.74	17.0	0.0	0.0	0.0	63.9	135.4	218.1	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	2.0	27.9	152.2	8.5	60.9	168.1	156.5	120.5	207.1	111.2	0.0	22.4	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	-99.0	-99.0	-99.0	-99.0	113.0	-99.0	-99.0	25.61	-99.0	10.5	-99.0	-99.0	-99.0	0.0	-99.0	-99.0	113.9	14.4	21.2	-99.0	-99.0	0.0	41.3	0.0	0.0	14.1	84.6	119.8	107.2	103.8000002	-99.0	0.0	3.0	4.3	0.0	0.0	-99.0	10.0	100.4	181.7	130.7	-99.0	18.5	0.0	-99.0	0.0	0.0	-99.0	130.7	-99.0	-99.0	-99.0	-99.0	-99.0	72.8	2.4	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	148.0	39.7	-99.0	11.7	-99.0	47.6	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.0	111.2	315.8	183.6	145.3	27.2	0.0	12.4	-99.0	0.0	2.5	-99.0	9.2	
CDRAG	(3)	AGS	LA CODORNIZ	121	-102.67	22.0	45.0	0.0	0.0	0.0	6.0	56.7	249.0	103.5	115.3	36.7	31.7	104.9	-99.0	0.0	0.0	0.0	33.1	165.5	57.0	-99.0	-99.0	-99.0	25.5	8.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	50.0	30.0	0.0	0.0	39.0	250.0	-99.0	80.4	178.2	113.0	30.0	13.5	16.7	0.0	0.0	0.0	0.0	35.0	139.0	156.3	128.0	64.0	35.8	7.0	52.0	43.0	0.0	1.0	18.5	81.0	256.0	82.4	148.8999999	-99.0	0.0	9.1	3.5	0.0	0.0	12.5	26.0	77.0	252.5	220.0	187.0	45.0	0.0	0.1	0.0	0.0	0.0	12.0	3.6	70.5	-99.0	164.8	37.4	59.5	4.5	0.5	0.2	0.0	0.0	0.0	24.2	8.9	57.4	80.41	4.0	75.4	29.1	36.3	0.0	39.4	0.0	0.0	0.0	155.81	176.51	171.21	139.61	10.5	0.0	2.5	11.1	0.0	0.0	0.0	0.0	175.0	191.2	196.6	129.5	14.5	0.0	3.5	0.0	0.0	5.0	23.4	2.6	
CLVAG	(4)	AGS	CALVILLITO	95	-102.19	21.83	60.5	0.0	1.8	0.0	88.0	89.1	267.2	46.7	215.3	5.8	32.7	69.5	-99.0	0.0	-99.0	0.01	46.25	-99.0	-99.0	97.42	73.85	-99.0	-99.0	-99.0	3.6	19.4	99.4	2.6	49.8	92.4	80.8	86.0	134.2	110.3	3.2	36.6	0.0	11.0	15.0	0.0	15.5	92.8	186.4	227.8	52.4	26.9	44.3	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	13.5	-99.0	0.0	20.0	87.4	-99.0	-99.0	50.7	-99.0	-99.0	55.71	-99.0	9.2	-99.0	-99.0	-99.0	0.0	70.22	-99.0	111.24	59.01	14.44	-99.0	-99.0	28.5	-99.0	0.0	0.0	18.1	25.8	142.35	73.35	33.12999986	-99.0	0.0	6.8	11.6	0.0	0.0	-99.0	10.0	76.91	147.44	47.7	-99.0	48.1	0.0	-99.0	1.7	0.0	-99.0	11.0	-99.0	-99.0	-99.0	-99.0	-99.0	44.81	2.81	0.2	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	65.62	7.8	32.91	56.81	56.46	0.3	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	8.91	176.22	108.85	-99.0	93.52	-99.0	0.0	3.5	-99.0	-99.0	1.0	-99.0	21.1	
CNSAG	(5)	AGS	LOS CONOS	143	-102.0	21.9	54.8	0.0	0.5	0.6	54.8	78.7	238.3	98.4	115.8	27.6	31.5	64.6	-99.0	2.5	7.11	0.72	93.21	198.71	79.3	96.71	83.8	14.6	-99.0	-99.0	3.5	21.8	80.3	6.7	83.0	160.8	244.6	50.9	58.7	90.7	3.7	24.4	2.2	13.6	12.9	0.7	7.9	63.2	135.7	229.2	39.9	21.5	42.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	51.5	33.0	0.01	106.3	39.0	289.11	-99.0	129.8	190.74	65.33	54.5	0.01	13.2	0.0	2.31	0.0	3.22	46.72	100.4	160.73	59.74	40.62	46.8	20.9	17.2	38.82	2.0	16.6	12.31	77.9	157.41	73.52	37.51999974	-99.0	0.0	10.0	9.5	0.0	0.0	0.0	20.7	154.75	139.23	161.1	213.4	75.2	1.51	0.5	0.1	0.4	0.0	0.5	3.01	38.2	-99.0	-99.0	53.2	76.31	3.23	0.51	0.0	0.0	0.01	-99.0	-99.0	1.34	34.14	62.64	23.5	51.85	60.42	53.32	0.0	37.31	0.0	0.0	7.61	62.94	198.22	81.63	173.81	17.31	0.0	0.5	5.6	0.0	0.02	0.0	30.12	146.73	169.71	69.27	136.93	3.1	0.0	7.31	3.8	0.0	3.24	10.4	9.83	
CSOAG	(6)	AGS	COSIO	132	-102.3	22.36	49.0	0.0	0.0	0.0	7.5	40.0	156.0	59.0	165.0	69.5	35.0	106.5	-99.0	0.0	2.5	0.01	55.83	86.02	70.03	107.03	80.51	2.03	-99.0	-99.0	6.0	49.0	34.1	22.0	5.1	176.8	146.0	70.4	64.6	126.5	6.0	9.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	35.5	19.4	0.0	4.1	32.5	208.04	-99.0	95.7	123.98	51.63	48.61	0.02	7.2	0.0	0.3	0.0	12.0	17.28	39.3	40.33	35.24	29.34	41.7	27.01	39.5	26.0	9.1	2.5	11.01	118.9	192.84	42.53	67.81000001	-99.0	0.0	6.0	0.0	0.0	0.0	0.0	25.8	204.21	151.44	35.3	143.9	36.4	0.02	0.0	0.01	0.1	0.0	17.6	0.44	41.2	-99.0	101.2	56.3	60.81	4.01	0.0	0.0	0.0	0.0	-99.0	-99.0	6.01	43.93	59.75	0.3	60.42	61.01	24.72	0.01	31.7	0.0	0.0	7.0	147.94	261.53	28.94	152.02	17.71	0.0	2.0	13.2	0.0	0.0	0.02	35.03	83.02	63.05	128.87	122.52	16.9	0.0	0.02	7.0	0.0	12.51	11.71	23.19	
JCQAG	(7)	AGS	JOCOQUE	135	-102.35	22.12	57.8	0.0	0.0	0.0	27.7	90.6	138.0	59.3	146.8	18.8	31.5	99.5	-99.0	0.0	1.8	0.1	45.1	77.21	89.12	73.82	106.8	22.5	22.3	4.4	14.7	41.9	93.4	5.9	8.9	184.3	75.0	59.1	92.1	111.2	8.7	9.8	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	26.4	0.0	5.8	35.9	199.41	-99.0	91.3	76.03	75.53	29.91	0.0	6.3	0.0	0.0	0.0	5.0	24.32	43.1	108.32	67.33	23.53	18.9	15.2	46.0	24.9	0.3	7.5	13.32	35.6	167.0	55.22	87.40000075	-99.0	0.0	1.3	4.0	0.0	0.0	0.3	72.5	93.21	188.1	104.4	200.0	34.2	0.01	0.1	0.0	0.0	0.0	19.0	0.0	9.0	-99.0	84.3	21.0	23.31	3.7	0.0	0.0	0.0	0.0	0.0	7.21	2.2	35.01	74.4	2.6	116.5	63.3	31.8	0.1	31.5	0.0	0.0	1.6	99.61	227.91	77.71	132.11	18.2	0.0	2.8	13.2	0.0	0.0	0.0	24.21	197.72	172.71	138.52	95.92	12.3	0.0	21.71	13.1	0.0	20.81	3.8	12.41	
MNLAG	(9)	AGS	MEDIA LUNA	129	-102.8	21.79	39.7	0.0	0.0	0.0	12.0	91.8	255.6	72.9	180.4	40.8	43.3	103.7	-99.0	0.0	0.01	0.0	83.64	185.82	81.05	146.73	99.42	34.61	-99.0	-99.0	8.9	46.5	78.9	6.0	4.5	224.3	178.7	159.7	53.6	105.5	11.1	30.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	48.9	32.7	0.0	4.8	73.9	208.51	-99.0	103.2	176.73	45.02	25.01	-99.0	24.3	0.0	0.0	0.0	6.0	96.42	131.4	226.03	83.63	27.22	34.4	-99.0	53.7	40.91	1.0	0.0	16.8	95.9	144.51	85.91	117.2199999	-99.0	0.0	12.7	10.5	0.0	0.0	0.5	7.3	127.25	249.21	177.1	254.7	54.2	0.0	-99.0	2.3	0.0	0.0	2.6	6.01	102.0	-99.0	92.9	61.7	40.73	6.72	-99.0	0.01	0.0	0.0	0.0	9.2	8.42	124.31	129.43	43.8	124.74	50.97	46.33	1.2	31.21	0.0	0.0	4.22	96.1	156.61	150.42	114.63	14.01	0.0	0.0	0.0	0.0	0.0	0.0	8.22	225.91	157.84	188.24	213.75	15.9	0.0	20.03	-99.0	0.0	3.0	12.72	4.4	
NGRAG	(10)	AGS	EL NIAGARA	146	-102.44	21.78	53.0	0.0	0.9	0.0	15.8	73.6	265.4	80.1	188.3	48.3	42.7	88.4	-99.0	0.0	2.3	0.0	50.73	130.03	101.46	98.42	97.53	88.91	-99.0	-99.0	2.9	27.5	101.7	4.4	20.5	205.0	128.1	58.6	115.4	103.0	4.3	28.9	2.9	13.4	19.9	1.6	2.2	72.5	206.9	239.1	31.8	46.3	30.7	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	25.4	41.1	0.0	0.0	27.4	260.01	-99.0	109.3	139.14	89.33	46.71	0.0	5.51	0.0	0.0	0.0	0.01	19.96	173.3	155.45	83.11	63.9	24.9	13.1	29.4	34.41	0.0	3.5	34.33	55.0	159.24	96.34	74.13999943	-99.0	0.0	9.8	3.4	0.0	0.0	2.5	16.9	156.62	187.13	71.0	153.4	31.8	0.0	0.8	1.4	0.0	0.0	13.4	47.23	42.7	-99.0	124.5	41.6	62.84	5.2	1.2	0.0	0.0	1.4	0.0	2.5	9.1	114.4	49.94	11.1	43.83	62.03	55.93	0.0	31.8	0.0	0.0	1.12	91.04	151.89	71.5	134.52	6.6	0.0	0.0	7.3	0.0	0.0	0.0	26.64	123.91	113.82	165.03	90.82	28.0	0.0	17.7	2.3	0.0	10.43	4.12	18.12	
